,address_shop,name_shop,rating_shop,lat_shop,lng_shop,supermarket_brand
128,"Wehntalerstrasse 634, 8046 Zürich, Switzerland",SPAR Supermarkt,4.1,47.423050200000006,8.499413699999998,Spar
129,"Berninastrasse 41, 8057 Zürich, Switzerland",City Bernina,4.1,47.403388799999995,8.547363700000002,Spar
130,"Badenerstrasse 104, 8952 Schlieren, Switzerland",SPAR Supermarkt Schlieren,4.6,47.3973206,8.431030900000001,Spar
131,"u. Geerenstrasse 1, 8600 Dübendorf, Switzerland",SPAR Supermarkt Dübendorf,3.9,47.389641,8.617294000000001,Spar
132,"Pilgerweg 45, 8803 Rüschlikon, Switzerland",SPAR Supermarkt Rüschlikon,4.2,47.3062584,8.5562832,Spar
133,"Schaffhauserstrasse 60, 8302 Kloten, Switzerland",SPAR Supermarkt Bramen,4.0,47.444122,8.578880999999999,Spar
134,"Ottikerstrasse 4, 8006 Zürich, Switzerland",Maxi Frischmarkt Zürich,4.5,47.38534079999999,8.5421604,Spar
135,"Breitistrasse 24, 8302 Kloten, Switzerland",SPAR Supermarkt Kloten Breitistrasse,4.1,47.447722,8.584222,Spar
136,"Bahnhofstrasse 42, 8305 Dietlikon, Switzerland",SPAR Supermarkt Dietlikon,4.3,47.42318119999999,8.6186765,Spar
137,"Bahnhofstrasse 1, 8603 Schwerzenbach, Switzerland",SPAR Supermarkt Schwerzenbach,4.1,47.381935,8.6526041,Spar
