geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,formatted_address,name,rating,search_name,search_postal_code
47.38646362989272,8.532631429892723,"Limmatstrasse 152, 8005 Zürich, Switzerland",MIGROS-GENOSSENSCHAFTS-BUND,3.8,MIGROS, 8005
47.39389472989273,8.539833729892722,"Schaffhauserstrasse 75, 8057 Zürich, Switzerland",MIGROS,4.0,MIGROS, 8005
47.38119662989272,8.538243479892724,"Zollstrasse 6, 8005 Zürich, Switzerland",MIGROS SUPERMARKT (MIT DAILY PRODUKTEN),4.5,MIGROS, 8005
47.40504897989273,8.498460729892724,"Regensdorferstrasse 20, 8049 Zürich, Switzerland",MIGROS SUPERMARKT,4.3,MIGROS, 8005
47.38683982989271,8.533195829892723,"Limmatstrasse 152, 8005 Zürich, Switzerland",KLUBSCHULE MIGROS,4.1,MIGROS, 8005
47.35966897989272,8.55540982989272,"Seefeldstrasse 111/113, 8008 Zürich, Switzerland",MIGROS SUPERMARKT,4.2,MIGROS, 8008
47.35891442989272,8.572991479892721,"Forchstrasse 260, 8008 Zürich, Switzerland",MIGROS SUPERMARKT,4.1,MIGROS, 8008
47.36004612989272,8.586931479892723,"Witikonerstrasse 293, 8053 Zürich, Switzerland",MIGROS SUPERMARKT,4.3,MIGROS, 8008
47.36609557989272,8.555331779892722,"Kreuzpl. 20, 8008 Zürich, Switzerland",MIGROS TAKE AWAY,3.5,MIGROS, 8008
47.38069372989273,8.56086332989272,"Toblerstrasse 73, 8044 Zürich, Switzerland",MIGROS SUPERMARKT,3.9,MIGROS, 8008
47.33724247989272,8.520097029892721,"Leimbachstrasse 23, 8041 Zürich, Switzerland",MIGROS SUPERMARKT,4.1,MIGROS, 8041
47.35941727989272,8.52065027989272,"Giesshübelstrasse 65, 8045 Zürich, Switzerland",MIGROS RESTAURANT,4.0,MIGROS, 8045
47.35921402989272,8.523556379892721,"Kalanderpl. 1, 8045 Zürich, Switzerland",MIGROS FITNESSPARK SIHLCITY,4.0,MIGROS, 8045
47.42138647989272,8.50997972989272,"Jonas-Furrer-Strasse 21, 8046 Zürich, Switzerland",MIGROS SUPERMARKT,4.2,MIGROS, 8046
47.37655442989272,8.487069329892723,"Albisriederstrasse 365, 8047 Zürich, Switzerland",MIGROS SUPERMARKT,4.1,MIGROS, 8047
47.38962772989272,8.48841567989272,"Neumarkt Altstetten, Altstetterstrasse 145, 8048 Zürich, Switzerland",MIGROS SUPERMARKT,4.4,MIGROS, 8048
47.39261177989273,8.489095479892722,"Hohlstrasse 600, 8048 Zürich, Switzerland",MIGROS SUPERMARKT,4.2,MIGROS, 8048
47.41201572989272,8.544101879892724,"Einkaufszentrum Neumarkt, Hofwiesenstrasse 350, 8050 Zürich, Switzerland",MIGROS SUPERMARKT,4.3,MIGROS, 8050
47.40534422989273,8.574308129892723,"Winterthurerstrasse 524, 8051 Zürich, Switzerland",MIGROS SUPERMARKT,4.2,MIGROS, 8050
47.42088322989272,8.549675729892721,"Schaffhauserstrasse 470, 8052 Zürich, Switzerland",MIGROS SUPERMARKT,4.3,MIGROS, 8050
47.42237052989272,8.559046779892721,"Thurgauerstrasse 106, 8152 Opfikon, Switzerland",MIGROS SUPERMARKT,4.2,MIGROS, 8050
47.41202602989272,8.544295729892722,"Hofwiesenstrasse 350/354, 8050 Zürich, Switzerland",MIGROS TAKE AWAY,3.9,MIGROS, 8050
47.37802197989272,8.54361672989272,"Bahnhofbrücke 1, 8001 Zürich, Switzerland",COOP SUPERMARKT ZÜRICH BAHNHOFBRÜCKE,4.3,COOP, 8001
47.37156582989272,8.53861687989272,"Bärengasse 16, 8001 Zürich, Switzerland",COOP SUPERMARKT ZÜRICH BÄRENGASSE,4.2,COOP, 8001
47.36791227989271,8.549140529892723,"Stadelhoferstrasse 10, 8001 Zürich, Switzerland",COOP ZÜRICH STADELHOFEN,4.2,COOP, 8001
